name,resource_type,from_node,to_node,distance_m,base_time_sec
LSA_CA36_CA35,LSA,CA-36,CA-35,200,100.0
LSA_CA36_CA37,LSA,CA-36,CA-37,200,100.0
LSA_CA37_CA36,LSA,CA-37,CA-36,200,100.0
LSA_CA37_CA38,LSA,CA-37,CA-38,200,100.0
LSA_CA38_CA37,LSA,CA-38,CA-37,200,100.0
LSA_CA38_CA39,LSA,CA-38,CA-39,200,100.0
LSA_CA39_CA38,LSA,CA-39,CA-38,200,100.0
LSA_CA39_CA40,LSA,CA-39,CA-40,200,100.0
LSA_CA40_CA39,LSA,CA-40,CA-39,200,100.0
LSA_CA41_CA42,LSA,CA-41,CA-42,200,100.0
LSA_CA42_CA41,LSA,CA-42,CA-41,200,100.0
LSA_CA42_CA43,LSA,CA-42,CA-43,200,100.0
LSA_CA43_CA42,LSA,CA-43,CA-42,200,100.0
LSA_CA43_CA44,LSA,CA-43,CA-44,200,100.0
LSA_CA44_CA43,LSA,CA-44,CA-43,200,100.0
LSA_CA44_CA45,LSA,CA-44,CA-45,200,100.0
LSA_CA45_CA44,LSA,CA-45,CA-44,200,100.0
LSA_CA45_CA46,LSA,CA-45,CA-46,200,100.0
LSA_CA46_CA45,LSA,CA-46,CA-45,200,100.0
LSA_CA46_CA47,LSA,CA-46,CA-47,200,100.0
LSA_CA47_CA46,LSA,CA-47,CA-46,200,100.0
LSA_CA47_CA48,LSA,CA-47,CA-48,200,100.0
LSA_CA48_CA47,LSA,CA-48,CA-47,200,100.0
LSA_CA01_CA09,LSA,CA-01,CA-09,200,100.0
LSA_CA09_CA01,LSA,CA-09,CA-01,200,100.0
LSA_CA02_CA10,LSA,CA-02,CA-10,200,100.0
LSA_CA10_CA02,LSA,CA-10,CA-02,200,100.0
LSA_CA03_CA11,LSA,CA-03,CA-11,200,100.0
LSA_CA11_CA03,LSA,CA-11,CA-03,200,100.0
LSA_CA04_CA12,LSA,CA-04,CA-12,200,100.0
LSA_CA12_CA04,LSA,CA-12,CA-04,200,100.0
LSA_CA05_CA13,LSA,CA-05,CA-13,200,100.0
LSA_CA13_CA05,LSA,CA-13,CA-05,200,100.0
LSA_CA06_CA14,LSA,CA-06,CA-14,200,100.0
LSA_CA14_CA06,LSA,CA-14,CA-06,200,100.0
LSA_CA07_CA15,LSA,CA-07,CA-15,200,100.0
LSA_CA15_CA07,LSA,CA-15,CA-07,200,100.0
LSA_CA08_CA16,LSA,CA-08,CA-16,200,100.0
LSA_CA16_CA08,LSA,CA-16,CA-08,200,100.0
LSA_CA09_CA17,LSA,CA-09,CA-17,200,100.0
LSA_CA17_CA09,LSA,CA-17,CA-09,200,100.0
LSA_CA10_CA18,LSA,CA-10,CA-18,200,100.0
LSA_CA18_CA10,LSA,CA-18,CA-10,200,100.0
LSA_CA11_CA19,LSA,CA-11,CA-19,200,100.0
LSA_CA19_CA11,LSA,CA-19,CA-11,200,100.0
LSA_CA12_CA20,LSA,CA-12,CA-20,200,100.0
LSA_CA20_CA12,LSA,CA-20,CA-12,200,100.0
LSA_CA13_CA21,LSA,CA-13,CA-21,200,100.0
LSA_CA21_CA13,LSA,CA-21,CA-13,200,100.0
LSA_CA14_CA22,LSA,CA-14,CA-22,200,100.0
LSA_CA22_CA14,LSA,CA-22,CA-14,200,100.0
LSA_CA15_CA23,LSA,CA-15,CA-23,200,100.0
LSA_CA23_CA15,LSA,CA-23,CA-15,200,100.0
LSA_CA16_CA24,LSA,CA-16,CA-24,200,100.0
LSA_CA24_CA16,LSA,CA-24,CA-16,200,100.0
LSA_CA17_CA25,LSA,CA-17,CA-25,200,100.0
LSA_CA25_CA17,LSA,CA-25,CA-17,200,100.0
LSA_CA18_CA26,LSA,CA-18,CA-26,200,100.0
LSA_CA26_CA18,LSA,CA-26,CA-18,200,100.0
LSA_CA19_CA27,LSA,CA-19,CA-27,200,100.0
LSA_CA27_CA19,LSA,CA-27,CA-19,200,100.0
LSA_CA20_CA28,LSA,CA-20,CA-28,200,100.0
LSA_CA28_CA20,LSA,CA-28,CA-20,200,100.0
LSA_CA21_CA29,LSA,CA-21,CA-29,200,100.0
LSA_CA29_CA21,LSA,CA-29,CA-21,200,100.0
LSA_CA22_CA30,LSA,CA-22,CA-30,200,100.0
LSA_CA30_CA22,LSA,CA-30,CA-22,200,100.0
LSA_CA23_CA31,LSA,CA-23,CA-31,200,100.0
LSA_CA31_CA23,LSA,CA-31,CA-23,200,100.0
LSA_CA24_CA32,LSA,CA-24,CA-32,200,100.0
LSA_CA32_CA24,LSA,CA-32,CA-24,200,100.0
LSA_CA25_CA33,LSA,CA-25,CA-33,200,100.0
LSA_CA33_CA25,LSA,CA-33,CA-25,200,100.0
LSA_CA26_CA34,LSA,CA-26,CA-34,200,100.0
LSA_CA34_CA26,LSA,CA-34,CA-26,200,100.0
LSA_CA27_CA35,LSA,CA-27,CA-35,200,100.0
LSA_CA35_CA27,LSA,CA-35,CA-27,200,100.0
LSA_CA28_CA36,LSA,CA-28,CA-36,200,100.0
LSA_CA36_CA28,LSA,CA-36,CA-28,200,100.0
LSA_CA29_CA37,LSA,CA-29,CA-37,200,100.0
LSA_CA37_CA29,LSA,CA-37,CA-29,200,100.0
LSA_CA30_CA38,LSA,CA-30,CA-38,200,100.0
LSA_CA38_CA30,LSA,CA-38,CA-30,200,100.0
LSA_CA31_CA39,LSA,CA-31,CA-39,200,100.0
LSA_CA39_CA31,LSA,CA-39,CA-31,200,100.0
LSA_CA32_CA40,LSA,CA-32,CA-40,200,100.0
LSA_CA40_CA32,LSA,CA-40,CA-32,200,100.0
LSA_CA33_CA41,LSA,CA-33,CA-41,200,100.0
LSA_CA41_CA33,LSA,CA-41,CA-33,200,100.0
LSA_CA34_CA42,LSA,CA-34,CA-42,200,100.0
LSA_CA42_CA34,LSA,CA-42,CA-34,200,100.0
LSA_CA35_CA43,LSA,CA-35,CA-43,200,100.0
LSA_CA43_CA35,LSA,CA-43,CA-35,200,100.0
LSA_CA36_CA44,LSA,CA-36,CA-44,200,100.0
LSA_CA44_CA36,LSA,CA-44,CA-36,200,100.0
LSA_CA37_CA45,LSA,CA-37,CA-45,200,100.0
LSA_CA45_CA37,LSA,CA-45,CA-37,200,100.0
LSA_CA38_CA46,LSA,CA-38,CA-46,200,100.0
LSA_CA46_CA38,LSA,CA-46,CA-38,200,100.0
LSA_CA39_CA47,LSA,CA-39,CA-47,200,100.0
LSA_CA47_CA39,LSA,CA-47,CA-39,200,100.0
LSA_CA40_CA48,LSA,CA-40,CA-48,200,100.0
LSA_CA48_CA40,LSA,CA-48,CA-40,200,100.0
LSA_D01_CA01,LSA,DEPOT-01,CA-01,70,35.0
LSA_CA01_D01,LSA,CA-01,DEPOT-01,70,35.0
LSA_D02_CA08,LSA,DEPOT-02,CA-08,70,35.0
LSA_CA08_D02,LSA,CA-08,DEPOT-02,70,35.0
LSA_D03_CA25,LSA,DEPOT-03,CA-25,70,35.0
LSA_CA25_D03,LSA,CA-25,DEPOT-03,70,35.0
LSA_D04_CA32,LSA,DEPOT-04,CA-32,70,35.0
LSA_CA32_D04,LSA,CA-32,DEPOT-04,70,35.0
LSA_CA41_SA,LSA,CA-41,STATION-A,70,35.0
LSA_SA_CA41,LSA,STATION-A,CA-41,70,35.0
LSA_CA42_SB,LSA,CA-42,STATION-B,70,35.0
LSA_SB_CA42,LSA,STATION-B,CA-42,70,35.0
LSA_CA43_SC,LSA,CA-43,STATION-C,70,35.0
LSA_SC_CA43,LSA,STATION-C,CA-43,70,35.0
LSA_CA44_SD,LSA,CA-44,STATION-D,70,35.0
LSA_SD_CA44,LSA,STATION-D,CA-44,70,35.0
LSA_CA45_SE,LSA,CA-45,STATION-E,70,35.0
LSA_SE_CA45,LSA,STATION-E,CA-45,70,35.0
LSA_CA46_SF,LSA,CA-46,STATION-F,70,35.0
LSA_SF_CA46,LSA,STATION-F,CA-46,70,35.0
LSA_CA47_SG,LSA,CA-47,STATION-G,70,35.0
LSA_SG_CA47,LSA,STATION-G,CA-47,70,35.0
LSA_CA48_SH,LSA,CA-48,STATION-H,70,35.0
LSA_SH_CA48,LSA,STATION-H,CA-48,70,35.0
